time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-03-29T19:31:42.900Z,18.0575,-66.9085,15.58,2.53,md,27,75,,0.17,pr,pr71342598,2022-03-29T20:34:45.712Z,"2 km N of Lluveras, Puerto Rico",earthquake,0.3,0.48,0.111208564387981,12,reviewed,pr,pr
2022-03-29T18:56:14.935Z,-32.5354,-71.8121,35,3.7,ml,,182,0.505,0.69,us,us7000gy6z,2022-03-30T21:20:40.222Z,"55 km W of La Ligua, Chile",earthquake,2.5,2,0.048,58,reviewed,us,us
2022-03-29T18:55:37.258Z,15.025,119.8032,47.44,4.8,mb,,94,7.845,0.69,us,us7000gy70,2022-03-30T13:26:40.768Z,"28 km W of Poblacion, San Felipe, Philippines",earthquake,8.8,6.4,0.045,160,reviewed,us,us
2022-03-29T18:53:25.180Z,38.7995,-122.7728333,0.65,2.75,md,71,31,0.01031,0.06,nc,nc73711961,2022-03-29T23:00:41.134Z,"3km NNW of The Geysers, CA",earthquake,0.09,0.15,0.156,56,reviewed,nc,nc
2022-03-29T18:35:43.770Z,33.1913333,-116.0031667,8.54,2.71,ml,77,36,0.02777,0.19,ci,ci39981303,2022-03-30T13:53:49.538Z,"13km SSW of Salton City, CA",earthquake,0.13,0.46,0.162,101,reviewed,ci,ci
2022-03-29T18:15:20.497Z,-21.7095,-179.4089,605.6,4.6,mb,,61,4.612,0.4,us,us7000gy6r,2022-03-29T18:31:34.040Z,"Fiji region",earthquake,10.7,10.1,0.046,139,reviewed,us,us
2022-03-29T18:01:39.221Z,26.7845,126.4023,10,4.9,mww,,41,1.672,0.61,us,us7000gy6q,2022-03-30T15:32:50.040Z,"142 km WNW of Naha, Japan",earthquake,5.3,1.8,0.098,10,reviewed,us,us
2022-03-29T17:36:43.464Z,26.8463,126.419,10,5.4,mww,,25,1.656,0.55,us,us7000gy5t,2022-03-30T17:42:21.330Z,"144 km WNW of Naha, Japan",earthquake,6.6,1.8,0.049,40,reviewed,us,us
2022-03-29T17:13:07.988Z,15.245,-104.3531,10,5.5,mww,,96,5.297,0.75,us,us7000gy5q,2022-03-30T17:16:17.792Z,"off the coast of Michoacan, Mexico",earthquake,8.9,1.8,0.046,46,reviewed,us,us
2022-03-29T17:07:32.205Z,31.6922,-104.5011,8.11,2.5,ml,,105,0.023,0.48,us,us7000gy5n,2022-03-29T19:33:13.040Z,"54 km SSW of Whites City, New Mexico",earthquake,1.5,8.4,0.066,48,reviewed,us,us
2022-03-29T16:27:14.997Z,14.109,119.3435,10,4.9,mww,,95,8.817,0.57,us,us7000gy5c,2022-03-30T13:00:35.040Z,"80 km WNW of Cabra, Philippines",earthquake,9.3,1.8,0.089,12,reviewed,us,us
2022-03-29T16:00:43.135Z,38.286,141.9988,35,4.4,mb,,188,2.602,0.66,us,us7000gy57,2022-03-29T16:58:52.040Z,"62 km ESE of Ishinomaki, Japan",earthquake,5.9,1.9,0.12,22,reviewed,us,us
2022-03-29T15:18:19.269Z,40.1422,141.8255,33.46,4.6,mb,,96,0.868,0.44,us,us7000gy4z,2022-03-29T15:54:23.040Z,"46 km E of Ichinohe, Japan",earthquake,6.1,4.5,0.052,113,reviewed,us,us
